Ano-Período,Componente,Tipo,Situação,Horário,Vagas
2018-2,IMD0012.0 - INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Atendida,26N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0012.0 - INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Atendida,26N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0012.0 - INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Atendida,26T34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0012.0 - INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Atendida,26N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0012.0 - INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Atendida,26M34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0012.0 - INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Atendida,26M56 (30/07/2018 - 22/12/2018),1
2018-2,IMD0012.1 - PRÁTICAS DE TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Atendida,4M34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0012.1 - PRÁTICAS DE TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Atendida,4M12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0012.1 - PRÁTICAS DE TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Atendida,4N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0012.1 - PRÁTICAS DE TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Atendida,4N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0012.1 - PRÁTICAS DE TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Atendida,4M56 (30/07/2018 - 22/12/2018),1
2018-2,IMD0012.1 - PRÁTICAS DE TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Atendida,4T34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0012.1 - PRÁTICAS DE TÉCNICAS DE PROGRAMAÇÃO,Turma Regular,Atendida,4N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0017 - PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS I,Turma Regular,Atendida,5T34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0017 - PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS I,Turma Regular,Removida,5T34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0017 - PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS I,Turma Regular,Atendida,5N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0018 - PRÁTICAS DE LEITURA EM INGLÊS,Turma Regular,Atendida,3N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0018 - PRÁTICAS DE LEITURA EM INGLÊS,Turma Regular,Negada,3T56 (30/07/2018 - 22/12/2018),1
2018-2,IMD0018 - PRÁTICAS DE LEITURA EM INGLÊS,Turma Regular,Atendida,3N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0020 - TECNOLOGIA DA INFORMAÇÃO E SOCIEDADE,Turma Regular,Removida,3T34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0020 - TECNOLOGIA DA INFORMAÇÃO E SOCIEDADE,Turma Regular,Atendida,3N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0024 - CÁLCULO DIFERENCIAL E INTEGRAL I,Turma Regular,Atendida,246M56 (30/07/2018 - 22/12/2018),1
2018-2,IMD0024 - CÁLCULO DIFERENCIAL E INTEGRAL I,Turma Regular,Atendida,246M56 (30/07/2018 - 22/12/2018),1
2018-2,IMD0024 - CÁLCULO DIFERENCIAL E INTEGRAL I,Turma Regular,Atendida,246T12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0024 - CÁLCULO DIFERENCIAL E INTEGRAL I,Turma Regular,Atendida,246N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0024 - CÁLCULO DIFERENCIAL E INTEGRAL I,Turma Regular,Atendida,246N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0027 - PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS II,Turma Regular,Atendida,5N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0027 - PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS II,Turma Regular,Atendida,5N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0027 - PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS II,Turma Regular,Atendida,3T56 (30/07/2018 - 22/12/2018),1
2018-2,IMD0027 - PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS II,Turma Regular,Atendida,3T34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0027 - PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS II,Turma Regular,Atendida,3M12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0027 - PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS II,Turma Regular,Atendida,3M34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0028 - FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,Turma Regular,Atendida,246M34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0028 - FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,Turma Regular,Atendida,246T56 (30/07/2018 - 22/12/2018),1
2018-2,IMD0028 - FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,Turma Regular,Atendida,246N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0028 - FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,Turma Regular,Atendida,246N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0028 - FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,Turma Regular,Atendida,246M12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0029 - ESTRUTURA DE DADOS BÁSICAS I,Turma Regular,Atendida,35N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0029 - ESTRUTURA DE DADOS BÁSICAS I,Turma Regular,Atendida,35T12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0029 - ESTRUTURA DE DADOS BÁSICAS I,Turma Regular,Negada,35N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0030 - LINGUAGEM DE PROGRAMAÇÃO I,Turma Regular,Negada,35N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0030 - LINGUAGEM DE PROGRAMAÇÃO I,Turma Regular,Atendida,35N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0033 - PROBABILIDADE,Turma Regular,Atendida,35N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0033 - PROBABILIDADE,Turma Regular,Atendida,35M34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0033 - PROBABILIDADE,Turma Regular,Atendida,35T34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0034 - VETORES E GEOMETRIA ANALÍTICA,Turma Regular,Atendida,35N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0034 - VETORES E GEOMETRIA ANALÍTICA,Turma Regular,Atendida,35M12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0034 - VETORES E GEOMETRIA ANALÍTICA,Turma Regular,Atendida,35M34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0034 - VETORES E GEOMETRIA ANALÍTICA,Turma Regular,Atendida,35T12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0034 - VETORES E GEOMETRIA ANALÍTICA,Turma Regular,Atendida,35N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0036 - SISTEMAS OPERACIONAIS,Turma Regular,Removida,35N12 (30/07/2018 - 22/12/2018),10
2018-2,IMD0036 - SISTEMAS OPERACIONAIS,Turma Regular,Atendida,35T34 (30/07/2018 - 22/12/2018),10
2018-2,IMD0036 - SISTEMAS OPERACIONAIS,Turma Regular,Atendida,35N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0038 - FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,Turma Regular,Atendida,246N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0039 - ESTRUTURAS DE DADOS BÁSICAS II,Turma Regular,Atendida,35N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0039 - ESTRUTURAS DE DADOS BÁSICAS II,Turma Regular,Atendida,46M34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0039 - ESTRUTURAS DE DADOS BÁSICAS II,Turma Regular,Removida,35N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0040 - LINGUAGEM DE PROGRAMAÇÃO II,Turma Regular,Atendida,35M12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0040 - LINGUAGEM DE PROGRAMAÇÃO II,Turma Regular,Atendida,46M56 (30/07/2018 - 22/12/2018),1
2018-2,IMD0040 - LINGUAGEM DE PROGRAMAÇÃO II,Turma Regular,Atendida,24N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0044 - PRÁTICAS DE LEITURA E ESCRITA EM INGLÊS,Turma Regular,Atendida,5T3456 (30/07/2018 - 22/12/2018),1
2018-2,IMD0212 - INGLÊS NÍVEL BÁSICO,Turma Regular,Atendida,35N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0212 - INGLÊS NÍVEL BÁSICO,Turma Regular,Atendida,35T34 (30/07/2018 - 22/12/2018),1
